Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
6/10/2022,8:38,0:00:44,data analyst,yes,115.5,healthcare,python,9.0,9.0,7.0,5.0,5.0,7.0,very difficult,remote work,male,26,United states,No Reponse,white or caucasian
6/10/2022,8:40,0:01:30,data analyst,no,53.0,finance,r,1.0,2.0,5.0,2.0,1.0,3.0,very difficult,remote work,male,36,Canada,No Reponse,asian or asian american
6/10/2022,8:42,0:02:18,data engineer,no,20.0,clean energy,python,0.0,8.0,7.0,5.0,7.0,7.0,easy,good work/life balance,male,23,Nigeria,No Reponse,black or african american
6/10/2022,8:43,0:02:10,analytics consultant,yes,187.5,finance,r,10.0,6.0,7.0,10.0,7.0,10.0,very easy,remote work,female,35,Canada,No Reponse,white or caucasian
6/10/2022,8:44,0:01:51,data analyst,yes,53.0,healthcare,r,1.0,4.0,4.0,4.0,0.0,1.0,difficult,better salary,male,44,United states,No Reponse,black or african american
6/10/2022,8:44,0:02:34,data analyst,yes,20.0,coworking space ,python,2.0,3.0,3.0,3.0,3.0,2.0,difficult,good work/life balance,male,33,Republic democratic of congo,No Reponse,black or african american
6/10/2022,8:44,0:01:15,data scientist,yes,20.0,finance,python,0.0,6.0,6.0,6.0,6.0,5.0,difficult,better salary,male,24,,No Reponse,black or african american
6/10/2022,8:45,0:01:25,data engineer,yes,137.5,retail,sql,10.0,5.0,5.0,5.0,5.0,9.0,neither easy nor difficult,remote work,male,35,United states,No Reponse,asian or asian american
6/10/2022,8:45,0:02:10,data analyst,yes,95.5,healthcare,r,4.0,4.0,4.0,4.0,5.0,5.0,neither easy nor difficult,better salary,male,35,United states,No Reponse,asian or asian american
6/10/2022,8:45,0:01:27,data analyst,yes,53.0,telecommunication,python,2.0,0.0,3.0,3.0,0.0,4.0,very difficult,better salary,male,28,United states,No Reponse,hispanic or latino
6/10/2022,8:45,0:01:29,data analyst,yes,75.5,logistics,python,10.0,10.0,8.0,8.0,8.0,10.0,neither easy nor difficult,remote work,male,37,Canada,No Reponse,white or caucasian
6/10/2022,8:45,0:02:31,data analyst,yes,20.0,igaming,python,3.0,8.0,10.0,10.0,7.0,8.0,neither easy nor difficult,better salary,male,32,Serbia,No Reponse,white or caucasian
6/10/2022,8:46,0:03:20,data analyst,yes,20.0,tech,r,1.0,10.0,9.0,9.0,5.0,10.0,neither easy nor difficult,better salary,male,34,Argentina,No Reponse,latino with italian roots
6/10/2022,8:46,0:00:55,data scientist,yes,20.0,education,python,3.0,10.0,10.0,6.0,7.0,8.0,easy,good work/life balance,male,30,United kingdom,No Reponse,white or caucasian
6/10/2022,8:47,0:01:24,data analyst,no,53.0,construction,r,4.0,5.0,5.0,5.0,4.0,5.0,neither easy nor difficult,good culture,male,31,United states,No Reponse,white or caucasian
6/10/2022,8:47,0:00:47,data analyst,yes,53.0,finance,python,4.0,10.0,7.0,7.0,7.0,5.0,difficult,good culture,male,29,United states,No Reponse,white or caucasian
6/10/2022,8:48,0:01:06,data analyst,yes,20.0,tech,python,1.0,2.0,4.0,2.0,2.0,2.0,neither easy nor difficult,better salary,male,22,Niger,No Reponse,black or african american
6/10/2022,8:48,0:01:04,student/looking/none,yes,20.0,retail,python,1.0,3.0,2.0,2.0,4.0,1.0,difficult,better salary,male,23,United states,No Reponse,black or african american
6/10/2022,8:49,0:01:05,student/looking/none,no,53.0,tech,r,7.0,8.0,8.0,6.0,8.0,3.0,very difficult,better salary,female,26,Canada,No Reponse,asian or asian american
6/10/2022,8:49,0:01:21,data analyst,no,20.0,aviation,python,1.0,1.0,1.0,1.0,2.0,0.0,very difficult,better salary,male,28,Nigeria,No Reponse,black or african american
6/10/2022,8:49,0:01:23,data analyst,yes,53.0,finance,python,5.0,5.0,5.0,5.0,5.0,5.0,easy,remote work,male,29,Kenya,No Reponse,black or african american
6/10/2022,8:50,0:01:35,data analyst,yes,115.5,tech,sql,10.0,5.0,10.0,6.0,10.0,10.0,neither easy nor difficult,remote work,female,31,United states,No Reponse,white or caucasian
6/10/2022,8:51,0:01:25,data analyst,yes,20.0,healthcare,python,5.0,6.0,8.0,8.0,7.0,1.0,neither easy nor difficult,remote work,male,28,Azerbaijan,No Reponse,white or caucasian
6/10/2022,8:51,0:01:47,data analyst,no,20.0,finance,python,4.0,4.0,4.0,4.0,4.0,4.0,neither easy nor difficult,better salary,male,32,Argentina,No Reponse,hispanic or latino
6/10/2022,8:51,0:02:14,data analyst,no,20.0,tech,python,7.0,8.0,8.0,8.0,3.0,8.0,easy,better salary,male,24,Sudan,No Reponse,black or african american
6/10/2022,8:51,0:02:21,data analyst,no,20.0,tech,python,4.0,6.0,6.0,6.0,7.0,7.0,easy,good work/life balance,male,31,India,No Reponse,asian or asian american
6/10/2022,8:52,0:02:07,data analyst,no,75.5,insurance,sql,7.0,10.0,5.0,5.0,5.0,2.0,difficult,responsibilities,male,23,United states,No Reponse,white or caucasian
6/10/2022,8:52,0:01:20,data analyst,yes,115.5,energy,python,1.0,6.0,9.0,1.0,0.0,2.0,difficult,remote work,female,33,United states,No Reponse,asian or asian american
6/10/2022,8:52,0:01:34,data analyst,no,95.5,healthcare,qlik sense script,6.0,7.0,7.0,7.0,7.0,4.0,very easy,better salary,male,43,United states,No Reponse,white or caucasian
6/10/2022,8:52,0:01:34,student/looking/none,yes,20.0,oil and gas,r,0.0,0.0,5.0,0.0,0.0,0.0,very difficult,remote work,female,23,Nigeria,No Reponse,african
6/10/2022,8:52,0:01:47,student/looking/none,yes,53.0,finance,python,10.0,7.0,10.0,10.0,5.0,3.0,very difficult,good work/life balance,male,31,United states,No Reponse,black or african american
6/10/2022,8:53,0:01:38,data analyst,yes,75.5,finance,python,5.0,6.0,7.0,5.0,4.0,4.0,neither easy nor difficult,development,male,31,United kingdom,No Reponse,white or caucasian
6/10/2022,8:53,0:03:30,data analyst,yes,20.0,other (please specify),python,8.0,7.0,8.0,7.0,7.0,7.0,difficult,good work/life balance,male,25,India,No Reponse,asian or asian american
